iso3c;region_id;country_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent
TJK;ECS;Tajikistan;;;;;;;;;
TKM;ECS;Turkmenistan;16.18;4.64;11.44;62.540000000000006;;2.19;;3.01;
TLS;EAS;Timor-Leste;43.6;5.5;10;9.3;10.9;16.5;4.2;;
TON;EAS;Tonga;51.3;5.9;9;8.9;7.4;13.4;4.1;;
TTO;LCN;Trinidad and Tobago;27.15;10.15;3.74;17.19;22.6;19.17;;;
TUN;MEA;Tunisia;68;2;4;5;10;11;;;
TUR;ECS;Turkey;64;2;1;24;6;3;;;
TUV;EAS;Tuvalu;43.6;5.5;10;9.3;10.9;16.5;4.2;;
TWN;EAS;;23.34;4.11;3.07;14.11;30.01;20.23;0.6;;4.43
TZA;SSF;Tanzania;;;;;;;;;
UGA;SSF;Uganda;74.5;0.8;0.6;10.6;6;7.6;;;
UKR;ECS;Ukraine;37;5;4;22;25;7;;;
URY;LCN;Uruguay;53.5;3;5;7.5;20;11;;;
USA;NAC;United States;14.9;4.4;9;3.2;26.6;12.9;9.5;6.2;13.3
UZB;ECS;Uzbekistan;40;3;2;17.5;17.5;2.5;1.5;4;
VCT;LCN;St. Vincent and the Grenadines;49.6;5.6;3.8;10.5;22.1;8.4;;;
VEN;LCN;Venezuela, RB;;;;;;;;;
VGB;LCN;British Virgin Islands;6.5;18.1;8.6;4.8;33.5;6.3;;22.2;
VIR;LCN;Virgin Islands (U.S.);46;7;7;12;15;13;;;
VNM;EAS;Vietnam;61.9;2.18;0.58;15.18;5.2;12.15;0.6;3.74;
VUT;EAS;Vanuatu;73.4;5.4;3.8;5.7;4.05;6.45;1.2;;
WSM;EAS;Samoa;42.6;2.2;8.8;19.4;7.2;13;6.8;;
XKX;ECS;Kosovo;42;6;6;20;8;11;;7;
YEM;MEA;Yemen, Rep.;65;1;6;6;7;10;1;3;1
ZAF;SSF;South Africa;16.381654627302726;5.200216370472019;16.9104608968452;45.020645565922344;9.396918237794269;7.090104301663434;;;
ZMB;SSF;Zambia;;;;;;;;;
ZWE;SSF;Zimbabwe;36;5;6;3;27;23;;;
